ACÍCULA|Espina endeble de algunas especies de rosales
ACICULAR|De figura de aguja
ACIDALIO|Relativo a la diosa Venus
ACIDAQUE|Arras que está obligado a dar el mahometano a la mujer por razón de casamiento
ACIDEZ|Sabor desagradable y molesto en la boca, producido por exceso de ácido en el estómago
ACIDÍFERO|Que contiene uno o más ácidos
ACIDIOSO|Perezoso, flojo
ÁCIDO|21Agrio, que tiene sabor parecido al del agraz o el vinagre
ÁCIDO|Agrio, que tiene sabor parecido al del agraz o el vinagre
ÁCIDOS|Quím. Sustancias que combinadas con las bases dan sales
ACIDOSIS|Pat. Estado anormal producido por exceso de ácidos en los tejidos y en la sangre
ACIDULAR|En vitivinicultura, añadir a un producto una pequeña cantidad de ácido
ACÍDULO|Ligeramente ácido
ACIERTO|Acción y efecto de acertar
ACIERTO|Acción y efecto de acertar
ÁCIGOS|(Vena ~) Anat. Vena que está en la parte derecha y anterior de la porción torácica del raquis y pone en comunicación la cava superior con la inferior
ACIMUT|Astron. Ángulo que forma el meridiano con el círculo vertical que pasa por un punto de la esfera celeste o del globo terráqueo
ACINESIA|Intervalo que, en cada pulsación, separa la sístole de la diástole
ACINÉSICO|Med. Que padece falta de movimiento o acinesia
ACLAMADO|Ovacionado, aplaudido, vitoreado
ACLAMAR|Aplaudir y dar voces la multitud en honor de una persona
ACLARAR|Fig. Explicar, dilucidar, poner en claro
ACLARECER|Poner algo en claro
ACLIMATAR|Acostumbrar a un ser orgánico a un clima que no le es habitual
ACOBARDAR|Amedrentar, atemorizar
ACOBIJAR|Abrigar las cepas y plantones con cobijos
ACOBRADO|De color de cobre
ACOCARSE|Agusanarse los frutos
ACOCEAR|Dar coces contra una persona o cosa
ACODADO|Doblado en forma de codo
ACODALAR|Arq. Poner codales a un vano o a una excavación
ACODERAR|Asegurar con codera la dirección de una nave fondeada
ACODILLAR|Doblar barras metálicas, tubos, etc., dándoles forma de codo
ACOGEDOR|Lugar agradable, cómodo, tranquilo o amistoso
ACOGER|Recibir con un sentimiento especial la aparición de personas o hechos
ACOGERSE|Invocar para sí los beneficios y derechos que conceden una disposición legal, un reglamento, una costumbre, etc.
ACOGIDA|Recibimiento u hospitalidad que ofrece una persona
ACOGOTAR|Apretar el cogote de una persona
ACOLADA|Abrazo que, acompañado de un espaldarazo, se daba al que acababa de ser armado caballero
ACOLCHADO|Labor que se ejecuta poniendo una capa de guata entre dos telas y pespunteando después
ACOLCHAR|Poner lana, algodón, etc. entre dos telas y bastearlas
ACOLITADO|La superior de las cuatro órdenes menores, que da facultad para servir al sacerdote en el altar
ACÓLITO|Clérigo que ha recibido la orden del acolitado
ACOLLADOR|Mar. Cabo para poner tirante las jarcias
ACOLLAR|Cobijar con tierra el pie de los árboles y otras plantas
ACOLLARAR|Atar a los perros por sus collares
ACOLOGÍA|Med. Tratado de los medios terapéuticos en general y de los instrumentos de cirugía
ACOMETER|Arremeter, emprender, intentar
ACOMETIDA|Acción y efecto de acometer
ACOMODADO|Moderado en el precio
ACOMODAR|Ordenar, componer, poner en sitio conveniente
ACOMODO|Acción de acomodar o acomodarse.// Arreglo, conveniencia
ACOMPAÑAR|Estar o ir en compañía de otro
ACOMPASAR|Mús. Dividir en tiempos iguales las composiciones, formando líneas perpendiculares que cortan el pentagrama
ACONCAGUA|Pico más alto de los Andes y del continente americano, situado en la provincia de Mendoza, Argentina
ACONCAGUA|Pico más alto de los Andes y del continente americano, situado en la provincia de Mendoza, Argentina
ACONGOJAR|Oprimir, afligir
